window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,70.1,21.35,1,1.88,0.60
2.0,40.7,18.89,1,1.32,0.60
4.0,40.7,19.13,1,1.57,0.60
6.0,40.8,27.17,1,1.75,0.60
8.0,40.8,25.50,1,1.60,0.60
10.0,40.8,26.06,1,1.28,0.60
12.0,40.6,27.16,1,1.49,0.60
14.0,40.8,24.03,1,1.35,0.60
16.0,40.7,25.20,1,1.83,0.60
18.0,58.5,29.86,1,2.31,0.60
20.0,58.6,30.96,1,2.32,0.60
22.0,58.5,40.72,1,3.96,0.60
24.0,58.5,38.57,1,3.76,0.60
26.0,58.5,45.37,1,4.26,0.60
28.0,58.5,45.00,1,4.11,0.60
30.0,58.5,30.67,1,3.33,0.60
32.0,58.6,26.86,1,3.21,0.60
34.0,58.5,29.22,1,2.93,0.60
36.0,58.5,26.82,1,2.65,0.60
38.0,58.5,33.20,1,3.44,0.60
40.0,58.5,32.87,1,3.32,0.60
42.0,58.5,31.78,1,3.51,0.60
44.0,58.5,30.47,1,2.91,0.60
46.0,58.5,31.84,1,3.23,0.60
48.0,58.5,27.32,1,2.12,0.60
50.0,58.5,23.94,1,2.06,0.60
52.0,58.5,27.66,1,2.68,0.60
54.0,58.5,26.76,1,2.61,0.60
56.0,58.5,34.17,1,3.00,0.60
58.0,58.5,37.75,1,3.35,0.60
60.0,58.5,35.30,1,2.87,0.60
62.0,58.5,31.16,1,2.37,0.60
64.0,58.5,32.13,1,2.95,0.60
66.0,58.5,27.97,1,2.26,0.60
68.0,58.5,28.68,1,2.24,0.60
70.0,58.5,26.40,1,2.11,0.60
72.0,40.6,24.65,1,1.26,0.60
74.0,40.7,21.76,1,1.15,0.60
76.0,40.7,23.56,1,1.57,0.60
78.0,58.5,23.39,1,2.02,0.60
80.0,58.5,23.87,1,2.12,0.60
82.0,58.5,24.77,1,2.19,0.60
84.0,58.5,32.76,1,3.50,0.60
86.0,58.5,35.66,1,3.88,0.60
88.0,58.5,38.50,1,3.73,0.60
90.0,58.5,36.03,1,3.70,0.60
92.0,58.5,28.48,1,3.32,0.60
94.0,58.5,30.60,1,2.90,0.60
96.0,58.5,29.75,1,2.93,0.60
98.0,58.5,32.96,1,3.23,0.60
100.0,58.5,39.76,1,4.48,0.60
102.0,58.5,32.87,1,3.01,0.60
104.0,58.5,36.83,1,4.01,0.60
106.0,58.5,35.10,1,3.11,0.60
108.0,58.5,31.60,1,2.39,0.60
110.0,58.5,30.93,1,2.59,0.60
112.0,58.5,30.89,1,2.80,0.60
114.0,58.5,25.06,1,2.29,0.60
116.0,58.5,30.07,1,2.57,0.60
118.0,58.5,36.53,1,3.48,0.60
120.0,58.5,36.57,1,4.03,0.60
122.0,58.5,34.00,1,3.64,0.60
124.0,58.5,32.25,1,2.55,0.60
126.0,58.5,22.90,1,2.06,0.60
128.0,40.7,19.74,1,1.76,0.60
130.0,58.5,22.85,1,2.38,0.60
132.0,45.8,21.71,1,1.59,0.60
134.0,58.5,27.08,1,2.50,0.60
136.0,58.5,27.78,1,2.67,0.60
138.0,58.5,23.87,1,1.90,0.60
140.0,58.5,23.91,1,1.69,0.60
142.0,58.5,20.83,1,1.50,0.60
144.0,58.5,23.10,1,1.89,0.60
146.0,58.5,24.85,1,2.71,0.60
148.0,58.5,25.84,1,2.71,0.60
150.0,58.5,22.99,1,2.23,0.60
152.0,54.6,19.05,1,1.43,0.60
154.0,40.7,25.62,1,1.36,0.60
156.0,40.7,22.11,1,1.51,0.60
158.0,40.8,23.00,1,1.35,0.60
160.0,40.8,20.24,1,1.24,0.60
162.0,58.5,24.52,1,2.37,0.60
164.0,58.5,24.33,1,2.24,0.60
166.0,58.5,28.71,1,3.04,0.60
168.0,58.5,34.50,1,3.78,0.60
170.0,58.5,33.82,1,3.39,0.60
172.0,58.5,24.25,1,2.24,0.60
174.0,58.5,22.32,1,1.99,0.60
176.0,40.8,19.45,1,1.62,0.60
178.0,45.9,21.85,1,2.03,0.60
180.0,45.8,22.75,1,1.73,0.60
182.0,45.9,23.18,1,1.32,0.60
184.0,45.8,19.13,1,1.17,0.60
186.0,45.8,20.64,1,1.26,0.60
188.0,45.9,23.48,1,1.26,0.60
190.0,45.9,21.15,1,1.03,0.60
192.0,45.9,18.94,1,1.28,0.60
194.0,45.9,16.46,1,1.44,0.60
196.0,41.0,15.71,1,1.05,0.60
198.0,41.0,17.21,1,1.18,0.60
200.0,58.7,18.37,1,1.65,0.60
202.0,57.7,17.51,1,1.26,0.60
204.0,58.7,24.90,1,2.17,0.60
206.0,58.7,31.57,1,2.85,0.60
208.0,58.7,29.10,1,2.77,0.60
210.0,58.7,32.81,1,2.95,0.60
212.0,58.7,24.47,1,2.23,0.60
214.0,58.8,20.32,1,1.89,0.60
216.0,40.7,32.73,1,1.17,0.60
