window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,126.92,1,8.71,0.50
2.0,800.0,115.94,1,6.53,0.50
4.0,800.0,116.50,1,6.30,0.50
6.0,800.0,115.46,1,4.76,0.50
8.0,800.0,123.65,1,5.19,0.50
10.0,800.0,122.46,1,4.97,0.50
12.0,800.0,121.04,1,4.88,0.50
14.0,800.0,116.19,1,5.01,0.50
16.0,800.0,111.25,1,4.77,0.50
18.0,800.0,108.40,1,4.92,0.50
20.0,800.0,116.00,1,4.71,0.50
22.0,800.0,109.88,1,3.51,0.50
24.0,800.0,111.81,1,3.69,0.50
26.0,800.0,122.78,1,3.58,0.50
28.0,800.0,119.95,1,3.56,0.50
30.0,800.0,126.07,1,5.34,0.50
32.0,800.0,123.39,1,5.82,0.50
34.0,800.0,127.15,1,5.43,0.50
36.0,800.0,119.94,1,5.44,0.50
38.0,800.0,114.41,1,4.50,0.50
40.0,800.0,104.43,1,4.09,0.50
42.0,800.0,108.51,1,4.45,0.50
44.0,800.0,117.49,1,4.96,0.50
46.0,800.0,116.18,1,4.41,0.50
48.0,800.0,123.83,1,5.68,0.50
50.0,800.0,113.45,1,6.12,0.50
52.0,800.0,124.45,1,5.50,0.50
54.0,800.0,123.73,1,5.62,0.50
56.0,800.0,121.67,1,4.37,0.50
58.0,800.0,114.11,1,3.62,0.50
60.0,800.0,119.64,1,4.26,0.50
62.0,800.0,118.34,1,4.71,0.50
64.0,800.0,127.88,1,4.79,0.50
66.0,800.0,126.90,1,5.67,0.50
68.0,800.0,139.47,1,6.30,0.50
70.0,800.0,130.35,1,6.56,0.50
72.0,800.0,121.83,1,5.54,0.50
74.0,800.0,128.00,1,6.32,0.50
76.0,800.0,104.83,1,4.81,0.50
78.0,800.0,105.17,1,5.16,0.50
80.0,800.0,107.32,1,5.26,0.50
82.0,800.0,111.49,1,6.07,0.50
84.0,800.0,110.09,1,4.12,0.50
86.0,800.0,113.27,1,4.10,0.50
88.0,800.0,114.81,1,3.74,0.50
90.0,800.0,113.89,1,3.98,0.50
92.0,800.0,115.65,1,5.24,0.50
94.0,800.0,107.81,1,4.41,0.50
96.0,800.0,117.56,1,5.21,0.50
98.0,800.0,114.85,1,4.24,0.50
100.0,800.0,123.91,1,3.94,0.50
102.0,800.0,121.50,1,4.48,0.50
104.0,800.0,120.70,1,4.10,0.50
106.0,800.0,113.34,1,4.14,0.50
108.0,800.0,116.96,1,4.85,0.50
110.0,800.0,112.18,1,5.03,0.50
112.0,800.0,111.72,1,4.92,0.50
114.0,800.0,108.05,1,5.97,0.50
116.0,800.0,110.21,1,5.18,0.50
118.0,800.0,114.77,1,4.06,0.50
120.0,800.0,118.07,1,4.10,0.50
122.0,800.0,122.92,1,4.51,0.50
124.0,800.0,123.63,1,4.64,0.50
126.0,800.0,128.51,1,6.27,0.50
128.0,800.0,122.28,1,6.98,0.50
130.0,800.0,106.00,1,6.50,0.50
132.0,800.0,105.65,1,5.82,0.50
134.0,800.0,107.61,1,6.14,0.50
136.0,800.0,116.76,1,5.74,0.50
138.0,800.0,106.18,1,5.52,0.50
140.0,800.0,117.51,1,5.76,0.50
142.0,800.0,116.62,1,6.16,0.50
144.0,800.0,114.40,1,6.34,0.50
146.0,800.0,111.10,1,5.53,0.50
148.0,800.0,114.65,1,5.50,0.50
150.0,800.0,117.88,1,6.44,0.50
152.0,800.0,122.58,1,7.13,0.50
154.0,800.0,126.76,1,5.52,0.50
156.0,800.0,118.00,1,6.03,0.50
158.0,800.0,111.72,1,5.50,0.50
160.0,800.0,110.14,1,5.57,0.50
162.0,800.0,114.33,1,7.03,0.50
164.0,800.0,104.32,1,6.17,0.50
166.0,800.0,114.18,1,5.51,0.50
168.0,800.0,119.47,1,4.50,0.50
170.0,800.0,121.81,1,4.61,0.50
172.0,800.0,118.73,1,5.85,0.50
174.0,800.0,125.26,1,6.80,0.50
176.0,800.0,118.79,1,6.82,0.50
178.0,800.0,108.55,1,5.26,0.50
180.0,800.0,100.60,1,4.79,0.50
182.0,800.0,101.60,1,4.84,0.50
184.0,800.0,97.62,1,5.40,0.50
186.0,800.0,106.02,1,5.56,0.50
188.0,800.0,102.09,1,5.17,0.50
190.0,800.0,102.65,1,5.36,0.50
192.0,800.0,107.28,1,6.34,0.50
194.0,800.0,114.20,1,7.63,0.50
196.0,800.0,130.01,1,8.62,0.50
198.0,800.0,129.93,1,7.88,0.50
200.0,800.0,129.39,1,7.76,0.50
202.0,800.0,131.39,1,8.96,0.50
204.0,800.0,129.27,1,6.90,0.50
206.0,800.0,128.12,1,5.22,0.50
208.0,800.0,127.93,1,5.38,0.50
210.0,800.0,123.60,1,4.73,0.50
212.0,800.0,104.09,1,5.66,0.50
214.0,800.0,86.82,1,5.45,0.50
216.0,800.0,41.06,1,2.16,0.50
