window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,187.85,1,7.60,0.70
2.0,800.0,180.95,1,9.53,0.70
4.0,800.0,188.67,1,11.65,0.70
6.0,800.0,185.54,1,7.69,0.70
8.0,800.0,206.12,1,9.16,0.70
10.0,800.0,200.30,1,8.68,0.70
12.0,800.0,202.52,1,8.79,0.70
14.0,800.0,188.71,1,8.95,0.70
16.0,800.0,186.83,1,8.42,0.70
18.0,800.0,179.00,1,6.11,0.70
20.0,800.0,193.82,1,6.44,0.70
22.0,800.0,181.79,1,4.48,0.70
24.0,800.0,185.72,1,4.66,0.70
26.0,800.0,197.38,1,4.30,0.70
28.0,800.0,187.15,1,4.10,0.70
30.0,800.0,199.80,1,5.85,0.70
32.0,800.0,195.95,1,7.01,0.70
34.0,800.0,196.17,1,6.44,0.70
36.0,800.0,194.69,1,6.81,0.70
38.0,800.0,182.41,1,5.41,0.70
40.0,800.0,172.64,1,5.05,0.70
42.0,800.0,182.17,1,5.67,0.70
44.0,800.0,195.99,1,6.44,0.70
46.0,800.0,187.70,1,5.82,0.70
48.0,800.0,193.36,1,6.76,0.70
50.0,800.0,172.96,1,6.62,0.70
52.0,800.0,193.33,1,6.78,0.70
54.0,800.0,195.95,1,6.92,0.70
56.0,800.0,190.73,1,5.76,0.70
58.0,800.0,178.31,1,4.73,0.70
60.0,800.0,186.64,1,5.40,0.70
62.0,800.0,189.92,1,6.09,0.70
64.0,800.0,199.84,1,6.37,0.70
66.0,800.0,197.57,1,7.15,0.70
68.0,800.0,213.04,1,7.48,0.70
70.0,800.0,202.95,1,7.72,0.70
72.0,800.0,202.16,1,9.94,0.70
74.0,800.0,211.69,1,11.09,0.70
76.0,800.0,181.89,1,9.01,0.70
78.0,800.0,181.06,1,7.01,0.70
80.0,800.0,179.92,1,6.78,0.70
82.0,800.0,182.50,1,6.85,0.70
84.0,800.0,177.39,1,5.10,0.70
86.0,800.0,182.10,1,5.06,0.70
88.0,800.0,186.55,1,4.68,0.70
90.0,800.0,187.77,1,5.01,0.70
92.0,800.0,190.55,1,6.04,0.70
94.0,800.0,175.60,1,5.34,0.70
96.0,800.0,186.53,1,6.15,0.70
98.0,800.0,181.22,1,5.23,0.70
100.0,800.0,193.75,1,4.77,0.70
102.0,800.0,191.69,1,5.53,0.70
104.0,800.0,190.95,1,5.17,0.70
106.0,800.0,181.23,1,5.11,0.70
108.0,800.0,183.95,1,5.95,0.70
110.0,800.0,186.11,1,6.12,0.70
112.0,800.0,185.04,1,5.98,0.70
114.0,800.0,179.42,1,6.38,0.70
116.0,800.0,176.54,1,5.79,0.70
118.0,800.0,180.75,1,4.98,0.70
120.0,800.0,188.14,1,5.08,0.70
122.0,800.0,191.51,1,5.65,0.70
124.0,800.0,189.40,1,6.04,0.70
126.0,800.0,197.96,1,8.01,0.70
128.0,800.0,196.05,1,10.34,0.70
130.0,800.0,174.90,1,7.32,0.70
132.0,800.0,186.75,1,7.88,0.70
134.0,800.0,193.96,1,6.95,0.70
136.0,800.0,203.48,1,6.73,0.70
138.0,800.0,182.57,1,6.95,0.70
140.0,800.0,197.52,1,7.91,0.70
142.0,800.0,195.26,1,8.93,0.70
144.0,800.0,187.15,1,7.64,0.70
146.0,800.0,182.56,1,7.01,0.70
148.0,800.0,183.48,1,6.83,0.70
150.0,800.0,189.44,1,8.03,0.70
152.0,800.0,196.28,1,11.04,0.70
154.0,800.0,207.81,1,9.78,0.70
156.0,800.0,200.25,1,10.92,0.70
158.0,800.0,189.16,1,9.63,0.70
160.0,800.0,184.06,1,8.62,0.70
162.0,800.0,187.49,1,6.82,0.70
164.0,800.0,171.08,1,6.40,0.70
166.0,800.0,184.67,1,6.24,0.70
168.0,800.0,186.92,1,5.34,0.70
170.0,800.0,186.63,1,5.51,0.70
172.0,800.0,185.13,1,7.22,0.70
174.0,800.0,195.61,1,8.60,0.70
176.0,800.0,185.64,1,11.51,0.70
178.0,800.0,175.53,1,8.68,0.70
180.0,800.0,171.71,1,8.72,0.70
182.0,800.0,181.87,1,8.97,0.70
184.0,800.0,166.21,1,9.92,0.70
186.0,800.0,182.32,1,10.33,0.70
188.0,800.0,173.97,1,9.11,0.70
190.0,800.0,176.68,1,9.68,0.70
192.0,800.0,173.37,1,11.00,0.70
194.0,800.0,177.75,1,12.55,0.70
196.0,800.0,194.22,1,14.91,0.70
198.0,800.0,192.36,1,12.92,0.70
200.0,800.0,197.99,1,11.33,0.70
202.0,800.0,200.64,1,11.13,0.70
204.0,800.0,198.84,1,8.25,0.70
206.0,800.0,195.25,1,6.45,0.70
208.0,800.0,197.54,1,6.89,0.70
210.0,800.0,197.98,1,6.17,0.70
212.0,800.0,176.73,1,6.96,0.70
214.0,800.0,161.58,1,8.35,0.70
216.0,800.0,124.26,1,4.33,0.70
