window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,72.03,1,1.87,0.60
2.0,800.0,68.74,1,1.88,0.60
4.0,800.0,70.45,1,1.77,0.60
6.0,800.0,69.41,1,1.83,0.60
8.0,800.0,75.30,1,1.80,0.60
10.0,800.0,74.28,1,1.84,0.60
12.0,800.0,72.75,1,1.78,0.60
14.0,800.0,70.32,1,1.80,0.60
16.0,800.0,66.79,1,1.85,0.60
18.0,800.0,65.25,1,1.82,0.60
20.0,800.0,69.98,1,1.78,0.60
22.0,800.0,65.88,1,1.68,0.60
24.0,800.0,65.76,1,1.78,0.60
26.0,800.0,71.33,1,1.63,0.60
28.0,800.0,70.15,1,1.63,0.60
30.0,800.0,75.21,1,1.82,0.60
32.0,800.0,74.05,1,1.90,0.60
34.0,800.0,74.40,1,1.82,0.60
36.0,800.0,71.18,1,1.82,0.60
38.0,800.0,68.36,1,1.85,0.60
40.0,800.0,63.59,1,1.81,0.60
42.0,800.0,66.14,1,1.83,0.60
44.0,800.0,70.22,1,1.84,0.60
46.0,800.0,68.47,1,1.90,0.60
48.0,800.0,71.93,1,1.94,0.60
50.0,800.0,64.84,1,1.95,0.60
52.0,800.0,70.94,1,1.86,0.60
54.0,800.0,71.76,1,1.80,0.60
56.0,800.0,70.16,1,1.81,0.60
58.0,800.0,67.11,1,1.80,0.60
60.0,800.0,69.80,1,1.83,0.60
62.0,800.0,70.73,1,1.79,0.60
64.0,800.0,74.76,1,1.85,0.60
66.0,800.0,74.11,1,1.80,0.60
68.0,800.0,80.28,1,1.85,0.60
70.0,800.0,76.07,1,1.84,0.60
72.0,800.0,73.74,1,1.81,0.60
74.0,800.0,78.76,1,1.82,0.60
76.0,800.0,66.39,1,1.92,0.60
78.0,800.0,66.62,1,1.93,0.60
80.0,800.0,64.90,1,1.89,0.60
82.0,800.0,66.81,1,1.91,0.60
84.0,800.0,65.41,1,1.85,0.60
86.0,800.0,68.44,1,1.89,0.60
88.0,800.0,69.24,1,1.81,0.60
90.0,800.0,68.18,1,1.79,0.60
92.0,800.0,68.72,1,1.70,0.60
94.0,800.0,63.45,1,1.79,0.60
96.0,800.0,68.66,1,1.75,0.60
98.0,800.0,66.66,1,1.81,0.60
100.0,800.0,71.91,1,1.84,0.60
102.0,800.0,70.67,1,1.80,0.60
104.0,800.0,71.22,1,1.83,0.60
106.0,800.0,68.48,1,1.81,0.60
108.0,800.0,68.72,1,1.85,0.60
110.0,800.0,69.41,1,2.05,0.60
112.0,800.0,68.29,1,1.95,0.60
114.0,800.0,66.45,1,1.97,0.60
116.0,800.0,68.42,1,1.97,0.60
118.0,800.0,70.11,1,1.97,0.60
120.0,800.0,72.22,1,1.94,0.60
122.0,800.0,73.40,1,1.92,0.60
124.0,800.0,73.42,1,1.92,0.60
126.0,800.0,76.33,1,1.94,0.60
128.0,800.0,72.91,1,1.86,0.60
130.0,800.0,65.93,1,1.86,0.60
132.0,800.0,68.98,1,1.79,0.60
134.0,800.0,70.66,1,1.81,0.60
136.0,800.0,74.88,1,1.81,0.60
138.0,800.0,68.29,1,1.81,0.60
140.0,800.0,73.63,1,1.81,0.60
142.0,800.0,71.68,1,1.72,0.60
144.0,800.0,68.85,1,1.81,0.60
146.0,800.0,66.46,1,1.84,0.60
148.0,800.0,67.78,1,1.79,0.60
150.0,800.0,70.82,1,1.84,0.60
152.0,800.0,74.37,1,1.86,0.60
154.0,800.0,78.72,1,1.87,0.60
156.0,800.0,74.27,1,1.91,0.60
158.0,800.0,70.13,1,2.03,0.60
160.0,800.0,66.85,1,2.00,0.60
162.0,800.0,67.19,1,1.94,0.60
164.0,800.0,60.44,1,1.95,0.60
166.0,800.0,66.77,1,1.87,0.60
168.0,800.0,70.18,1,1.90,0.60
170.0,800.0,71.55,1,1.91,0.60
172.0,800.0,71.07,1,1.85,0.60
174.0,800.0,74.19,1,1.83,0.60
176.0,800.0,69.79,1,1.84,0.60
178.0,800.0,64.50,1,1.76,0.60
180.0,800.0,62.33,1,1.73,0.60
182.0,800.0,64.74,1,1.77,0.60
184.0,800.0,60.31,1,1.74,0.60
186.0,800.0,65.90,1,1.82,0.60
188.0,800.0,64.37,1,1.84,0.60
190.0,800.0,65.01,1,1.92,0.60
192.0,800.0,65.98,1,1.94,0.60
194.0,800.0,67.15,1,1.93,0.60
196.0,800.0,75.41,1,1.95,0.60
198.0,800.0,75.49,1,1.89,0.60
200.0,800.0,76.06,1,1.81,0.60
202.0,800.0,77.21,1,1.80,0.60
204.0,800.0,76.03,1,1.83,0.60
206.0,800.0,74.33,1,1.85,0.60
208.0,800.0,74.35,1,1.84,0.60
210.0,800.0,74.41,1,1.81,0.60
212.0,800.0,66.45,1,1.89,0.60
214.0,800.0,63.45,1,1.88,0.60
216.0,800.0,47.97,1,1.58,0.60
