window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,40.7,20.31,1,1.25,0.50
2.0,40.6,18.86,1,1.27,0.50
4.0,40.6,21.04,1,1.26,0.50
6.0,40.6,22.08,1,1.39,0.50
8.0,40.6,21.00,1,1.36,0.50
10.0,40.6,18.70,1,1.24,0.50
12.0,40.6,16.11,1,1.03,0.50
14.0,72.7,16.18,1,1.31,0.50
16.0,72.6,15.10,1,1.37,0.50
18.0,72.6,18.21,1,1.46,0.50
20.0,72.7,18.77,1,1.46,0.50
22.0,72.7,19.05,1,1.38,0.50
