window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,82.75,1,1.85,0.70
2.0,800.0,81.15,1,1.86,0.70
4.0,800.0,84.77,1,1.76,0.70
6.0,800.0,83.12,1,1.82,0.70
8.0,800.0,91.16,1,1.80,0.70
10.0,800.0,89.55,1,1.83,0.70
12.0,800.0,88.94,1,1.79,0.70
14.0,800.0,86.37,1,1.83,0.70
16.0,800.0,83.52,1,1.88,0.70
18.0,800.0,81.00,1,1.83,0.70
20.0,800.0,86.78,1,1.78,0.70
22.0,800.0,81.73,1,1.80,0.70
24.0,800.0,82.28,1,1.78,0.70
26.0,800.0,87.14,1,1.78,0.70
28.0,800.0,84.09,1,1.78,0.70
30.0,800.0,90.54,1,1.83,0.70
32.0,800.0,89.36,1,1.89,0.70
34.0,800.0,88.27,1,1.81,0.70
36.0,800.0,87.00,1,1.83,0.70
38.0,800.0,82.58,1,1.84,0.70
40.0,800.0,78.40,1,1.80,0.70
42.0,800.0,81.87,1,1.83,0.70
44.0,800.0,86.64,1,1.83,0.70
46.0,800.0,83.94,1,1.89,0.70
48.0,800.0,86.78,1,1.92,0.70
50.0,800.0,77.21,1,1.93,0.70
52.0,800.0,85.09,1,1.86,0.70
54.0,800.0,86.80,1,1.82,0.70
56.0,800.0,84.51,1,1.82,0.70
58.0,800.0,80.51,1,1.81,0.70
60.0,800.0,83.73,1,1.83,0.70
62.0,800.0,85.67,1,1.80,0.70
64.0,800.0,89.70,1,1.85,0.70
66.0,800.0,88.58,1,1.80,0.70
68.0,800.0,95.18,1,1.86,0.70
70.0,800.0,90.59,1,1.84,0.70
72.0,800.0,89.77,1,1.80,0.70
74.0,800.0,95.43,1,1.82,0.70
76.0,800.0,83.25,1,1.90,0.70
78.0,800.0,83.82,1,1.93,0.70
80.0,800.0,81.07,1,1.90,0.70
82.0,800.0,82.57,1,1.93,0.70
84.0,800.0,80.23,1,1.86,0.70
86.0,800.0,83.40,1,1.88,0.70
88.0,800.0,85.08,1,1.82,0.70
90.0,800.0,84.51,1,1.80,0.70
92.0,800.0,84.70,1,1.73,0.70
94.0,800.0,78.21,1,1.82,0.70
96.0,800.0,83.10,1,1.76,0.70
98.0,800.0,81.02,1,1.82,0.70
100.0,800.0,87.02,1,1.85,0.70
102.0,800.0,86.03,1,1.83,0.70
104.0,800.0,86.62,1,1.85,0.70
106.0,800.0,83.49,1,1.80,0.70
108.0,800.0,82.79,1,1.83,0.70
110.0,800.0,84.95,1,2.00,0.70
112.0,800.0,83.88,1,1.90,0.70
114.0,800.0,81.81,1,1.95,0.70
116.0,800.0,82.22,1,1.94,0.70
118.0,800.0,84.03,1,1.95,0.70
120.0,800.0,86.92,1,1.91,0.70
122.0,800.0,87.17,1,1.89,0.70
124.0,800.0,87.07,1,1.90,0.70
126.0,800.0,90.58,1,1.94,0.70
128.0,800.0,88.36,1,1.87,0.70
130.0,800.0,79.56,1,1.89,0.70
132.0,800.0,85.20,1,1.81,0.70
134.0,800.0,87.95,1,1.83,0.70
136.0,800.0,92.41,1,1.83,0.70
138.0,800.0,84.06,1,1.82,0.70
140.0,800.0,89.55,1,1.81,0.70
142.0,800.0,87.41,1,1.73,0.70
144.0,800.0,83.84,1,1.82,0.70
146.0,800.0,82.07,1,1.86,0.70
148.0,800.0,82.18,1,1.79,0.70
150.0,800.0,85.85,1,1.85,0.70
152.0,800.0,89.66,1,1.87,0.70
154.0,800.0,95.34,1,1.86,0.70
156.0,800.0,91.41,1,1.89,0.70
158.0,800.0,86.75,1,2.01,0.70
160.0,800.0,83.05,1,1.96,0.70
162.0,800.0,82.75,1,1.93,0.70
164.0,800.0,75.00,1,1.93,0.70
166.0,800.0,81.94,1,1.85,0.70
168.0,800.0,84.67,1,1.88,0.70
170.0,800.0,84.82,1,1.90,0.70
172.0,800.0,85.04,1,1.85,0.70
174.0,800.0,88.68,1,1.84,0.70
176.0,800.0,83.71,1,1.86,0.70
178.0,800.0,78.07,1,1.77,0.70
180.0,800.0,77.39,1,1.74,0.70
182.0,800.0,82.15,1,1.79,0.70
184.0,800.0,75.18,1,1.77,0.70
186.0,800.0,82.22,1,1.83,0.70
188.0,800.0,79.34,1,1.84,0.70
190.0,800.0,80.10,1,1.91,0.70
192.0,800.0,78.72,1,1.92,0.70
194.0,800.0,79.80,1,1.91,0.70
196.0,800.0,87.93,1,1.93,0.70
198.0,800.0,87.70,1,1.87,0.70
200.0,800.0,89.67,1,1.79,0.70
202.0,800.0,91.07,1,1.79,0.70
204.0,800.0,90.00,1,1.81,0.70
206.0,800.0,88.29,1,1.84,0.70
208.0,800.0,88.85,1,1.84,0.70
210.0,800.0,89.18,1,1.80,0.70
212.0,800.0,80.38,1,1.87,0.70
214.0,800.0,78.19,1,1.86,0.70
216.0,800.0,70.91,1,1.91,0.70
