window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,70.1,16.02,1,1.40,0.50
2.0,40.7,19.32,1,1.82,0.50
4.0,40.8,20.02,1,1.51,0.50
6.0,40.8,27.08,1,1.74,0.50
8.0,40.8,26.13,1,1.58,0.50
10.0,40.8,26.87,1,1.25,0.50
12.0,40.6,27.95,1,1.46,0.50
14.0,40.7,25.68,1,1.36,0.50
16.0,40.7,26.47,1,1.75,0.50
18.0,58.5,25.44,1,1.83,0.50
20.0,58.6,27.84,1,1.91,0.50
22.0,58.5,36.00,1,3.10,0.50
24.0,58.5,33.73,1,3.23,0.50
26.0,58.5,39.00,1,3.61,0.50
28.0,58.5,38.53,1,4.33,0.50
30.0,58.5,25.26,1,2.95,0.50
32.0,58.6,23.13,1,2.51,0.50
34.0,58.5,25.32,1,2.43,0.50
36.0,58.5,23.03,1,2.13,0.50
38.0,58.5,28.51,1,2.71,0.50
40.0,58.5,28.16,1,2.74,0.50
42.0,58.5,27.39,1,2.90,0.50
44.0,58.5,26.49,1,2.46,0.50
46.0,58.5,27.93,1,2.67,0.50
48.0,58.5,22.82,1,1.67,0.50
50.0,58.5,19.75,1,1.57,0.50
52.0,58.5,23.93,1,2.17,0.50
54.0,58.5,23.01,1,2.05,0.50
56.0,58.5,30.86,1,2.53,0.50
58.0,58.5,34.12,1,2.79,0.50
60.0,58.5,31.47,1,2.36,0.50
62.0,58.5,27.90,1,1.95,0.50
64.0,58.5,29.35,1,2.47,0.50
66.0,58.5,24.94,1,1.94,0.50
68.0,58.5,25.12,1,1.79,0.50
70.0,58.5,22.58,1,1.70,0.50
72.0,40.7,25.32,1,1.30,0.50
74.0,40.7,22.89,1,1.22,0.50
76.0,40.7,24.34,1,1.55,0.50
78.0,40.7,21.41,1,1.35,0.50
80.0,40.8,22.06,1,1.38,0.50
82.0,58.5,20.33,1,1.63,0.50
84.0,58.5,28.51,1,3.07,0.50
86.0,58.5,30.93,1,3.20,0.50
88.0,58.5,33.19,1,3.22,0.50
90.0,58.5,30.92,1,3.04,0.50
92.0,58.5,23.06,1,2.45,0.50
94.0,58.5,25.72,1,2.39,0.50
96.0,58.5,25.10,1,2.21,0.50
98.0,58.5,28.81,1,2.53,0.50
100.0,58.5,34.49,1,3.46,0.50
102.0,58.5,28.57,1,2.43,0.50
104.0,58.5,32.58,1,3.24,0.50
106.0,58.5,30.66,1,2.56,0.50
108.0,58.5,27.39,1,1.96,0.50
110.0,58.5,25.84,1,1.95,0.50
112.0,58.5,26.24,1,2.13,0.50
114.0,58.5,19.81,1,1.67,0.50
116.0,58.5,24.99,1,2.03,0.50
118.0,58.5,32.15,1,2.96,0.50
120.0,58.5,32.07,1,3.43,0.50
122.0,58.5,30.24,1,2.96,0.50
124.0,58.5,29.51,1,2.10,0.50
126.0,40.7,23.98,1,1.85,0.50
128.0,40.7,19.45,1,1.67,0.50
130.0,58.5,18.59,1,2.01,0.50
132.0,45.8,21.84,1,1.61,0.50
134.0,58.5,21.19,1,1.86,0.50
136.0,45.6,22.61,1,1.32,0.50
138.0,45.6,21.45,1,1.13,0.50
140.0,45.6,22.19,1,1.07,0.50
142.0,45.7,20.74,1,1.21,0.50
144.0,58.5,19.39,1,1.54,0.50
146.0,58.5,21.47,1,2.30,0.50
148.0,58.5,22.42,1,2.19,0.50
150.0,58.5,20.09,1,1.84,0.50
152.0,54.6,18.62,1,1.27,0.50
154.0,40.7,26.46,1,1.33,0.50
156.0,40.7,22.57,1,1.46,0.50
158.0,40.8,23.38,1,1.30,0.50
160.0,40.8,20.98,1,1.31,0.50
162.0,58.5,18.30,1,1.64,0.50
164.0,58.5,19.28,1,1.71,0.50
166.0,58.5,23.79,1,2.43,0.50
168.0,58.5,29.51,1,3.02,0.50
170.0,58.5,29.45,1,2.78,0.50
172.0,58.5,21.55,1,1.88,0.50
174.0,40.8,20.70,1,1.67,0.50
176.0,40.8,19.93,1,1.60,0.50
178.0,45.9,21.98,1,1.96,0.50
180.0,45.8,23.10,1,1.74,0.50
182.0,45.9,23.15,1,1.30,0.50
184.0,45.8,19.84,1,1.18,0.50
186.0,45.8,20.96,1,1.24,0.50
188.0,45.9,23.58,1,1.22,0.50
190.0,45.9,21.46,1,1.01,0.50
192.0,45.9,19.48,1,1.24,0.50
194.0,45.9,16.75,1,1.56,0.50
196.0,41.0,16.93,1,1.03,0.50
198.0,41.0,18.14,1,1.15,0.50
200.0,40.9,18.87,1,1.48,0.50
202.0,57.7,16.12,1,1.04,0.50
204.0,58.7,22.01,1,1.77,0.50
206.0,58.7,28.21,1,2.33,0.50
208.0,58.7,26.23,1,2.40,0.50
210.0,58.7,29.41,1,2.47,0.50
212.0,58.7,20.53,1,1.76,0.50
214.0,40.8,19.24,1,1.21,0.50
216.0,40.7,23.40,1,1.15,0.50
