window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,59.54,1,1.91,0.50
2.0,800.0,55.04,1,1.92,0.50
4.0,800.0,55.43,1,1.80,0.50
6.0,800.0,54.87,1,1.85,0.50
8.0,800.0,58.28,1,1.80,0.50
10.0,800.0,58.25,1,1.86,0.50
12.0,800.0,56.36,1,1.77,0.50
14.0,800.0,54.79,1,1.78,0.50
16.0,800.0,51.39,1,1.82,0.50
18.0,800.0,50.82,1,1.81,0.50
20.0,800.0,54.71,1,1.77,0.50
22.0,800.0,52.08,1,1.53,0.50
24.0,800.0,51.74,1,1.63,0.50
26.0,800.0,56.99,1,1.55,0.50
28.0,800.0,57.00,1,1.59,0.50
30.0,800.0,60.71,1,1.82,0.50
32.0,800.0,59.61,1,1.92,0.50
34.0,800.0,60.74,1,1.83,0.50
36.0,800.0,56.28,1,1.81,0.50
38.0,800.0,55.02,1,1.88,0.50
40.0,800.0,50.21,1,1.83,0.50
42.0,800.0,51.62,1,1.84,0.50
44.0,800.0,54.87,1,1.86,0.50
46.0,800.0,54.09,1,1.91,0.50
48.0,800.0,57.95,1,1.97,0.50
50.0,800.0,52.93,1,1.97,0.50
52.0,800.0,56.97,1,1.86,0.50
54.0,800.0,57.12,1,1.78,0.50
56.0,800.0,56.48,1,1.79,0.50
58.0,800.0,54.36,1,1.65,0.50
60.0,800.0,56.68,1,1.82,0.50
62.0,800.0,56.62,1,1.78,0.50
64.0,800.0,60.66,1,1.85,0.50
66.0,800.0,60.10,1,1.80,0.50
68.0,800.0,65.34,1,1.84,0.50
70.0,800.0,61.24,1,1.85,0.50
72.0,800.0,57.14,1,1.82,0.50
74.0,800.0,61.59,1,1.82,0.50
76.0,800.0,50.98,1,1.93,0.50
78.0,800.0,51.53,1,1.92,0.50
80.0,800.0,50.93,1,1.88,0.50
82.0,800.0,53.00,1,1.90,0.50
84.0,800.0,52.40,1,1.84,0.50
86.0,800.0,54.84,1,1.86,0.50
88.0,800.0,55.12,1,1.72,0.50
90.0,800.0,53.89,1,1.78,0.50
92.0,800.0,54.08,1,1.67,0.50
94.0,800.0,50.28,1,1.77,0.50
96.0,800.0,55.33,1,1.74,0.50
98.0,800.0,53.51,1,1.78,0.50
100.0,800.0,58.19,1,1.79,0.50
102.0,800.0,56.82,1,1.76,0.50
104.0,800.0,57.35,1,1.80,0.50
106.0,800.0,55.03,1,1.81,0.50
108.0,800.0,55.53,1,1.86,0.50
110.0,800.0,55.10,1,2.11,0.50
112.0,800.0,54.30,1,2.00,0.50
114.0,800.0,52.53,1,2.00,0.50
116.0,800.0,55.43,1,2.00,0.50
118.0,800.0,57.47,1,1.90,0.50
120.0,800.0,58.98,1,1.92,0.50
122.0,800.0,60.51,1,1.96,0.50
124.0,800.0,60.32,1,1.93,0.50
126.0,800.0,62.05,1,1.93,0.50
128.0,800.0,57.56,1,1.84,0.50
130.0,800.0,51.51,1,1.82,0.50
132.0,800.0,51.90,1,1.77,0.50
134.0,800.0,52.97,1,1.79,0.50
136.0,800.0,57.04,1,1.79,0.50
138.0,800.0,51.99,1,1.80,0.50
140.0,800.0,57.08,1,1.80,0.50
142.0,800.0,55.65,1,1.70,0.50
144.0,800.0,54.20,1,1.79,0.50
146.0,800.0,52.17,1,1.82,0.50
148.0,800.0,54.45,1,1.77,0.50
150.0,800.0,56.82,1,1.84,0.50
152.0,800.0,59.30,1,1.86,0.50
154.0,800.0,61.60,1,1.87,0.50
156.0,800.0,57.18,1,1.93,0.50
158.0,800.0,53.93,1,2.05,0.50
160.0,800.0,52.26,1,2.04,0.50
162.0,800.0,53.18,1,1.95,0.50
164.0,800.0,47.67,1,1.96,0.50
166.0,800.0,53.50,1,1.89,0.50
168.0,800.0,57.05,1,1.91,0.50
170.0,800.0,59.20,1,1.92,0.50
172.0,800.0,58.32,1,1.86,0.50
174.0,800.0,60.49,1,1.81,0.50
176.0,800.0,56.38,1,1.82,0.50
178.0,800.0,51.01,1,1.75,0.50
180.0,800.0,47.48,1,1.71,0.50
182.0,800.0,48.06,1,1.75,0.50
184.0,800.0,46.09,1,1.70,0.50
186.0,800.0,50.20,1,1.81,0.50
188.0,800.0,49.59,1,1.83,0.50
190.0,800.0,49.95,1,1.92,0.50
192.0,800.0,52.66,1,1.96,0.50
194.0,800.0,54.54,1,1.95,0.50
196.0,800.0,62.82,1,1.98,0.50
198.0,800.0,63.14,1,1.92,0.50
200.0,800.0,62.36,1,1.84,0.50
202.0,800.0,63.02,1,1.82,0.50
204.0,800.0,62.03,1,1.85,0.50
206.0,800.0,60.74,1,1.87,0.50
208.0,800.0,60.57,1,1.84,0.50
210.0,800.0,59.76,1,1.82,0.50
212.0,800.0,51.70,1,1.91,0.50
214.0,800.0,46.60,1,1.93,0.50
216.0,800.0,26.18,1,1.17,0.50
