window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,43.1,24.53,1,1.18,0.50
2.0,43.0,27.22,1,1.32,0.50
4.0,43.0,23.28,1,1.12,0.50
6.0,54.2,24.97,1,1.19,0.50
8.0,54.2,29.98,1,1.31,0.50
10.0,48.3,27.49,1,1.13,0.50
12.0,48.3,27.66,1,1.30,0.50
14.0,40.6,25.72,1,1.17,0.50
16.0,40.6,27.09,1,1.29,0.50
18.0,54.1,22.33,1,1.14,0.50
20.0,48.3,20.09,1,1.12,0.50
22.0,48.3,24.00,1,1.27,0.50
