window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,70.1,29.02,1,2.81,0.80
2.0,70.1,21.93,1,1.51,0.80
4.0,40.7,14.19,1,1.26,0.80
6.0,40.8,22.57,1,1.89,0.80
8.0,40.8,19.80,1,1.59,0.80
10.0,40.8,20.15,1,1.37,0.80
12.0,40.8,20.69,1,1.55,0.80
14.0,58.4,18.38,1,2.28,0.80
16.0,58.5,24.78,1,2.61,0.80
18.0,58.5,31.28,1,2.37,0.80
20.0,58.5,30.09,1,2.61,0.80
22.0,58.5,42.44,1,3.14,0.80
24.0,58.5,40.78,1,2.81,0.80
26.0,58.5,48.18,1,3.27,0.80
28.0,58.5,47.80,1,3.31,0.80
30.0,58.5,34.23,1,2.76,0.80
32.0,58.5,29.41,1,3.04,0.80
34.0,58.5,30.12,1,3.00,0.80
36.0,58.5,27.91,1,2.82,0.80
38.0,58.5,35.50,1,3.16,0.80
40.0,58.5,34.97,1,3.04,0.80
42.0,58.5,32.77,1,3.44,0.80
44.0,58.5,31.22,1,3.35,0.80
46.0,58.5,32.40,1,3.12,0.80
48.0,58.5,29.59,1,2.88,0.80
50.0,58.5,26.53,1,2.80,0.80
52.0,58.5,28.30,1,3.11,0.80
54.0,58.5,27.63,1,3.24,0.80
56.0,58.5,33.20,1,3.83,0.80
58.0,58.5,36.78,1,4.32,0.80
60.0,58.5,34.95,1,4.01,0.80
62.0,58.5,30.82,1,3.34,0.80
64.0,58.5,30.11,1,3.90,0.80
66.0,58.5,27.46,1,2.79,0.80
68.0,58.5,29.56,1,3.29,0.80
70.0,58.5,27.34,1,2.90,0.80
72.0,40.6,18.93,1,1.20,0.80
74.0,58.5,20.18,1,1.92,0.80
76.0,40.7,17.78,1,1.57,0.80
78.0,58.5,26.70,1,3.00,0.80
80.0,58.5,27.26,1,2.34,0.80
82.0,58.5,28.39,1,2.64,0.80
84.0,58.5,34.37,1,2.60,0.80
86.0,58.5,37.59,1,3.21,0.80
88.0,58.5,40.15,1,3.42,0.80
90.0,58.5,37.11,1,3.19,0.80
92.0,58.5,31.95,1,4.25,0.80
94.0,58.5,33.11,1,3.78,0.80
96.0,58.5,32.87,1,3.67,0.80
98.0,58.5,35.30,1,3.43,0.80
100.0,58.5,41.96,1,3.55,0.80
102.0,58.5,35.27,1,3.37,0.80
104.0,58.5,37.66,1,3.50,0.80
106.0,58.5,36.27,1,3.41,0.80
108.0,58.5,32.50,1,3.27,0.80
110.0,58.5,33.38,1,3.44,0.80
112.0,58.5,32.34,1,2.87,0.80
114.0,58.5,29.42,1,3.33,0.80
116.0,58.5,32.74,1,2.83,0.80
118.0,58.5,37.68,1,3.31,0.80
120.0,58.5,37.77,1,4.08,0.80
122.0,58.5,34.61,1,4.22,0.80
124.0,58.5,31.48,1,3.72,0.80
126.0,58.5,23.85,1,3.01,0.80
128.0,58.5,19.68,1,2.34,0.80
130.0,58.5,25.53,1,2.35,0.80
132.0,58.4,27.64,1,3.14,0.80
134.0,58.5,31.77,1,2.48,0.80
136.0,58.5,31.96,1,3.06,0.80
138.0,58.5,27.47,1,2.66,0.80
140.0,58.5,26.99,1,2.17,0.80
142.0,58.5,22.45,1,2.10,0.80
144.0,58.5,24.65,1,2.02,0.80
146.0,58.5,25.99,1,2.10,0.80
148.0,58.5,26.68,1,2.96,0.80
150.0,58.5,24.11,1,2.91,0.80
152.0,58.5,17.35,1,1.88,0.80
154.0,40.7,19.08,1,1.11,0.80
156.0,40.7,16.48,1,1.05,0.80
158.0,40.8,17.18,1,1.23,0.80
160.0,58.5,24.65,1,2.66,0.80
162.0,58.5,30.95,1,3.36,0.80
164.0,58.5,29.19,1,3.15,0.80
166.0,58.5,32.47,1,2.74,0.80
168.0,58.5,36.12,1,3.14,0.80
170.0,58.5,34.81,1,3.65,0.80
172.0,58.5,25.32,1,2.63,0.80
174.0,58.5,23.00,1,2.72,0.80
176.0,40.8,14.95,1,1.48,0.80
178.0,45.9,17.47,1,1.77,0.80
180.0,45.9,17.16,1,1.55,0.80
182.0,45.9,17.25,1,1.13,0.80
184.0,267.9,18.54,1,1.37,0.80
186.0,267.9,16.33,1,1.05,0.80
188.0,45.9,18.44,1,1.11,0.80
190.0,45.8,17.10,1,1.14,0.80
192.0,45.9,14.23,1,1.03,0.80
194.0,45.9,13.24,1,1.14,0.80
196.0,57.6,11.44,1,1.38,0.80
198.0,54.7,13.49,1,1.74,0.80
200.0,58.7,18.06,1,2.28,0.80
202.0,58.7,17.79,1,1.92,0.80
204.0,58.7,25.20,1,2.93,0.80
206.0,58.7,31.68,1,3.79,0.80
208.0,58.7,29.08,1,3.41,0.80
210.0,58.7,31.42,1,3.76,0.80
212.0,58.7,25.51,1,3.27,0.80
214.0,58.8,20.49,1,2.43,0.80
216.0,40.7,32.85,1,1.19,0.80
