window_start_s,lag_ms,peak_ratio,confident,comb_ratio,beta
0.0,800.0,210.43,1,7.51,0.80
2.0,800.0,205.06,1,9.04,0.80
4.0,800.0,216.89,1,15.79,0.80
6.0,800.0,211.88,1,9.78,0.80
8.0,800.0,237.78,1,12.16,0.80
10.0,800.0,230.93,1,11.46,0.80
12.0,800.0,237.46,1,11.80,0.80
14.0,800.0,219.58,1,12.22,0.80
16.0,800.0,223.17,1,9.60,0.80
18.0,800.0,212.43,1,7.34,0.80
20.0,800.0,231.93,1,7.79,0.80
22.0,800.0,219.63,1,5.41,0.80
24.0,800.0,226.51,1,5.66,0.80
26.0,800.0,234.56,1,5.08,0.80
28.0,800.0,218.86,1,4.75,0.80
30.0,800.0,234.73,1,6.66,0.80
32.0,800.0,230.30,1,7.89,0.80
34.0,800.0,227.12,1,7.53,0.80
36.0,800.0,230.54,1,8.15,0.80
38.0,800.0,214.83,1,6.31,0.80
40.0,800.0,206.13,1,6.00,0.80
42.0,800.0,217.32,1,6.84,0.80
44.0,800.0,233.75,1,7.82,0.80
46.0,800.0,221.90,1,7.03,0.80
48.0,800.0,225.82,1,7.96,0.80
50.0,800.0,201.01,1,7.48,0.80
52.0,800.0,224.24,1,8.05,0.80
54.0,800.0,229.26,1,8.23,0.80
56.0,800.0,222.72,1,7.03,0.80
58.0,800.0,208.39,1,5.73,0.80
60.0,800.0,218.12,1,6.53,0.80
62.0,800.0,224.41,1,7.35,0.80
64.0,800.0,233.82,1,7.94,0.80
66.0,800.0,229.90,1,8.62,0.80
68.0,800.0,245.30,1,8.66,0.80
70.0,800.0,233.32,1,8.95,0.80
72.0,800.0,235.02,1,13.33,0.80
74.0,800.0,246.04,1,12.70,0.80
76.0,800.0,219.20,1,12.64,0.80
78.0,800.0,220.30,1,8.22,0.80
80.0,800.0,219.24,1,7.98,0.80
82.0,800.0,219.82,1,7.94,0.80
84.0,800.0,212.83,1,6.11,0.80
86.0,800.0,216.89,1,6.00,0.80
88.0,800.0,223.82,1,5.67,0.80
90.0,800.0,227.19,1,6.14,0.80
92.0,800.0,228.07,1,7.10,0.80
94.0,800.0,210.27,1,6.40,0.80
96.0,800.0,219.75,1,7.17,0.80
98.0,800.0,214.13,1,6.18,0.80
100.0,800.0,228.89,1,5.66,0.80
102.0,800.0,228.14,1,6.56,0.80
104.0,800.0,227.66,1,6.23,0.80
106.0,800.0,216.34,1,6.18,0.80
108.0,800.0,215.45,1,7.14,0.80
110.0,800.0,222.94,1,7.24,0.80
112.0,800.0,222.74,1,7.19,0.80
114.0,800.0,214.94,1,7.28,0.80
116.0,800.0,207.20,1,6.58,0.80
118.0,800.0,213.85,1,5.97,0.80
120.0,800.0,224.60,1,6.10,0.80
122.0,800.0,225.13,1,6.64,0.80
124.0,800.0,220.25,1,7.32,0.80
126.0,800.0,228.51,1,9.38,0.80
128.0,800.0,229.48,1,11.51,0.80
130.0,800.0,202.86,1,8.25,0.80
132.0,800.0,219.73,1,8.35,0.80
134.0,800.0,230.25,1,7.77,0.80
136.0,800.0,240.94,1,7.65,0.80
138.0,800.0,213.72,1,7.86,0.80
140.0,800.0,230.82,1,8.87,0.80
142.0,800.0,229.35,1,10.43,0.80
144.0,800.0,219.98,1,9.00,0.80
146.0,800.0,217.89,1,8.42,0.80
148.0,800.0,217.04,1,8.14,0.80
150.0,800.0,224.36,1,9.49,0.80
152.0,800.0,229.24,1,13.04,0.80
154.0,800.0,241.35,1,13.37,0.80
156.0,800.0,235.42,1,15.19,0.80
158.0,800.0,222.21,1,13.22,0.80
160.0,800.0,220.43,1,9.48,0.80
162.0,800.0,223.96,1,7.57,0.80
164.0,800.0,206.49,1,7.26,0.80
166.0,800.0,222.21,1,7.13,0.80
168.0,800.0,221.54,1,6.37,0.80
170.0,800.0,217.86,1,6.52,0.80
172.0,800.0,218.66,1,8.65,0.80
174.0,800.0,229.44,1,10.25,0.80
176.0,800.0,217.08,1,15.32,0.80
178.0,800.0,205.27,1,11.56,0.80
180.0,800.0,203.85,1,12.20,0.80
182.0,800.0,220.14,1,12.73,0.80
184.0,800.0,199.08,1,11.44,0.80
186.0,800.0,219.41,1,13.71,0.80
188.0,800.0,206.51,1,12.63,0.80
190.0,800.0,209.03,1,12.92,0.80
192.0,800.0,201.00,1,14.77,0.80
194.0,800.0,206.85,1,16.51,0.80
196.0,800.0,222.96,1,19.45,0.80
198.0,800.0,219.93,1,16.12,0.80
200.0,800.0,227.83,1,13.41,0.80
202.0,800.0,229.42,1,12.55,0.80
204.0,800.0,228.99,1,9.54,0.80
206.0,800.0,225.13,1,7.61,0.80
208.0,800.0,230.46,1,8.26,0.80
210.0,800.0,230.91,1,7.50,0.80
212.0,800.0,204.70,1,8.18,0.80
214.0,800.0,186.09,1,9.93,0.80
216.0,800.0,149.54,1,6.07,0.80
