t_s,lag_ms,peak_ratio,confident,rms_db,comb_ratio,beat_period_ms
8,150,7.34,1,-51.2,1.15,1014.0
10,150,7.27,1,-50.9,1.27,1013.5
12,85,9.09,1,-54.0,1.29,1012.7
14,1382,15.67,1,-57.4,1.16,1012.9
16,1382,19.82,1,-58.6,1.58,1019.3
18,348,13.82,1,-59.9,1.09,587.8
20,2283,18.55,1,-60.1,1.23,587.8
22,2284,15.30,1,-61.4,1.01,937.5
24,2007,13.61,1,-62.2,1.51,820.1
26,937,9.95,1,-63.0,1.26,819.2
29,48,12.42,1,-59.9,1.55,1140.0
31,48,10.84,1,-60.1,1.20,819.2
33,59,11.33,1,-60.1,1.92,819.8
35,82,12.36,1,-62.5,1.28,971.0
37,45,9.62,1,-61.5,1.03,880.0
39,48,10.60,1,-62.2,1.04,880.0
41,48,11.61,1,-62.2,1.16,880.0
43,47,10.20,1,-64.1,1.33,880.0
45,49,6.78,1,-66.1,1.15,880.0
47,49,7.62,1,-66.0,1.45,690.5
49,49,9.16,1,-66.0,1.52,693.2
51,53,8.41,1,-66.0,1.33,926.7
53,49,7.81,1,-66.0,1.31,769.5
55,53,9.16,1,-65.9,1.49,772.8
57,53,8.55,1,-65.9,1.47,981.2
59,44,7.26,1,-66.0,1.29,617.8
61,125,10.30,1,-65.1,1.11,617.9
63,125,11.28,1,-65.0,1.42,616.7
65,125,11.40,1,-65.0,1.36,460.4
67,125,11.38,1,-65.0,1.36,799.7
69,53,6.73,1,-66.0,1.30,767.6
72,53,5.69,1,-66.0,1.01,1087.4
74,84,6.76,1,-66.0,1.06,1087.7
76,44,8.00,1,-65.7,1.13,1088.4
78,53,7.81,1,-65.7,1.32,1090.0
80,53,7.91,1,-65.8,1.37,275.4
82,53,8.41,1,-65.7,1.54,276.0
84,49,8.68,1,-65.6,1.17,276.9
86,49,9.24,1,-65.5,1.24,314.7
88,44,8.62,1,-65.5,1.38,325.3
90,43,8.86,1,-65.5,1.35,1013.4
92,53,19.20,1,-58.9,1.55,910.5
94,47,26.86,1,-32.0,1.12,282.8
96,47,26.04,1,-32.0,1.12,283.4
98,47,25.96,1,-32.0,1.11,280.1
100,47,27.64,1,-32.0,1.11,279.8
102,1763,54.89,1,-58.9,1.56,279.8
104,42,93.45,1,-37.4,1.77,280.4
106,42,68.25,1,-37.4,1.72,1052.2
108,42,68.19,1,-37.3,1.72,1052.2
110,42,74.09,1,-37.4,1.71,1051.6
112,121,15.82,1,-55.7,1.19,1051.6
115,58,22.06,1,-57.4,1.89,1051.7
117,57,21.94,1,-59.0,1.96,776.1
119,57,22.05,1,-59.0,1.91,864.5
121,57,23.65,1,-59.0,1.97,1014.6
123,55,32.86,1,-56.5,2.67,425.3
125,45,9.94,1,-52.9,1.10,425.3
127,53,45.05,1,-28.9,2.04,950.9
129,43,26.93,1,-25.4,2.02,951.2
131,43,27.04,1,-25.4,2.04,954.7
133,43,27.33,1,-25.4,2.05,1003.1
135,401,33.72,1,-29.9,1.17,1082.7
137,53,32.13,1,-54.0,1.72,1082.7
139,122,39.24,1,-64.6,2.35,1156.0
141,49,8.14,1,-66.3,1.37,1066.4
143,53,7.76,1,-66.3,1.33,1074.2
145,53,6.88,1,-66.3,1.32,798.5
147,231,52.23,1,-50.5,2.68,1191.7
149,447,71.57,1,-46.3,1.36,448.2
151,447,69.00,1,-46.3,1.37,448.2
153,447,71.53,1,-46.4,1.36,448.2
155,64,47.32,1,-63.2,1.21,448.2
158,58,83.10,1,-31.0,2.42,448.2
160,168,17.36,1,-22.9,1.14,1089.9
162,68,15.84,1,-21.2,1.08,324.7
164,168,12.99,1,-20.2,1.02,325.3
166,64,11.94,1,-20.7,1.27,325.3
168,64,11.16,1,-23.1,1.01,325.3
170,62,13.22,1,-26.9,1.38,858.7
172,49,34.41,1,-32.0,2.76,939.0
174,64,15.01,1,-35.9,1.18,939.3
176,201,14.06,1,-39.0,1.27,939.1
178,45,11.21,1,-41.8,1.19,939.1
180,64,35.17,1,-46.3,1.61,939.1
182,135,19.90,1,-33.6,1.33,445.9
184,135,19.85,1,-33.6,1.32,607.4
186,135,19.86,1,-33.6,1.32,411.0
188,135,20.26,1,-33.9,1.16,411.0
190,121,21.68,1,-58.0,1.04,410.7
192,54,22.79,1,-54.7,1.47,412.6
194,54,22.10,1,-54.6,1.50,726.9
196,57,29.55,1,-40.4,1.55,372.6
198,57,12.36,1,-34.3,1.07,396.5
201,51,14.65,1,-31.2,1.50,396.8
203,51,12.75,1,-30.8,1.28,287.0
205,42,13.56,1,-31.7,1.09,396.9
207,51,14.79,1,-33.4,1.55,396.9
209,48,25.26,1,-42.1,1.53,396.9
211,51,48.56,1,-57.2,1.52,523.5
213,77,96.66,1,-62.5,2.13,269.6
215,49,6.59,1,-66.8,1.25,867.2
217,77,6.80,1,-66.7,1.01,687.6
219,438,6.47,1,-66.7,1.03,1034.0
221,77,7.02,1,-66.6,1.18,545.3
223,121,6.15,1,-66.5,1.04,544.8
225,121,6.48,1,-66.3,1.08,365.0
227,297,24.77,1,-58.4,1.67,364.0
229,1216,21.79,1,-56.4,1.09,613.3
231,1554,15.07,1,-54.9,1.03,610.4
233,2160,22.49,1,-54.5,1.58,609.5
235,2159,24.81,1,-55.1,1.35,609.2
237,2160,31.14,1,-56.4,1.21,609.0
239,1520,33.10,1,-57.9,1.94,1135.5
241,1282,26.48,1,-58.8,1.88,939.6
244,1191,7.49,1,-63.0,1.03,734.0
246,53,8.87,1,-63.6,1.08,733.1
248,112,19.18,1,-63.6,1.08,404.3
250,56,15.92,1,-62.0,1.10,405.6
252,73,11.84,1,-60.4,1.11,416.6
254,313,13.74,1,-56.5,1.43,272.3
256,639,8.94,1,-54.4,1.00,418.3
258,290,8.68,1,-54.0,1.06,823.5
260,290,8.80,1,-53.3,1.13,821.3
262,639,10.21,1,-54.3,1.07,821.7
264,178,13.19,1,-55.5,1.02,273.0
266,178,14.64,1,-55.9,1.03,275.2
268,178,18.11,1,-56.5,1.28,274.7
270,178,23.38,1,-57.9,1.58,276.3
272,208,24.35,1,-59.7,1.93,561.9
274,208,21.68,1,-59.3,1.69,272.5
276,2152,9.72,1,-59.7,1.19,595.7
278,2152,9.68,1,-59.8,1.25,595.6
280,2152,12.91,1,-60.2,1.58,653.7
282,49,13.70,1,-60.1,1.16,653.8
285,873,38.69,1,-57.1,2.58,874.0
287,873,24.80,1,-55.9,1.31,873.3
289,873,25.80,1,-56.0,1.29,873.2
291,872,27.76,1,-56.3,1.21,873.3
293,733,20.16,1,-60.6,1.90,873.3
295,123,14.39,1,-63.7,1.58,873.3
297,122,18.39,1,-62.9,1.69,277.2
299,978,18.33,1,-60.0,1.40,1140.2
301,1284,20.30,1,-56.5,1.23,276.4
303,1284,15.98,1,-55.4,1.28,275.6
305,1284,16.06,1,-55.7,1.31,275.4
307,1540,10.45,1,-57.1,1.10,276.1
309,73,44.02,1,-28.3,1.08,834.2
311,51,22.53,1,-24.5,1.49,834.0
313,51,23.30,1,-21.7,1.32,949.7
315,51,25.36,1,-20.9,1.31,949.9
317,41,22.77,1,-20.4,1.04,949.7
319,51,23.09,1,-20.8,1.37,1099.5
321,51,27.29,1,-21.8,1.70,1099.6
323,51,25.20,1,-22.7,1.44,997.2
325,51,20.27,1,-20.3,1.60,988.4
328,54,16.86,1,-20.0,1.70,986.7
330,42,13.99,1,-19.5,1.29,986.7
332,40,11.67,1,-18.8,1.05,988.0
334,43,13.87,1,-20.3,1.32,976.0
336,40,12.83,1,-20.6,1.18,948.4
338,50,16.26,1,-21.0,1.50,946.2
340,46,23.57,1,-21.5,1.81,946.2
