t_s,lag_ms,peak_ratio,confident,rms_db,comb_ratio,beat_period_ms
8,51,11.48,1,-30.1,1.65,688.0
10,51,12.00,1,-30.0,1.77,688.0
12,51,11.42,1,-31.1,1.81,688.0
14,40,15.47,1,-31.4,1.62,1119.4
16,40,17.51,1,-33.2,1.53,1119.9
18,44,18.43,1,-33.3,1.61,1050.7
20,40,20.40,1,-33.6,1.42,1050.7
22,73,30.52,1,-42.1,1.22,1050.7
24,51,12.23,1,-53.6,1.21,1050.7
26,42,20.01,1,-48.7,1.40,589.6
29,42,18.84,1,-48.8,1.30,289.4
31,42,20.25,1,-49.0,1.38,289.5
33,42,20.67,1,-48.9,1.44,289.4
35,46,59.63,1,-36.6,1.26,289.4
37,46,56.82,1,-36.6,1.27,289.5
39,46,56.91,1,-36.6,1.27,1164.3
41,46,60.72,1,-36.6,1.27,1164.1
43,51,9.39,1,-56.9,1.06,1164.4
45,51,11.06,1,-56.6,1.25,1163.8
47,51,10.74,1,-56.5,1.16,661.4
49,50,13.15,1,-56.6,1.20,666.7
51,51,13.49,1,-56.8,1.22,657.3
53,51,11.47,1,-56.8,1.04,1179.3
55,51,12.01,1,-56.9,1.11,1180.3
57,51,10.86,1,-56.7,1.06,1180.5
59,308,10.67,1,-56.8,1.14,1183.8
61,308,10.99,1,-56.6,1.16,1181.5
63,308,9.65,1,-56.4,1.02,725.7
65,634,10.95,1,-56.3,1.14,482.0
67,634,10.39,1,-56.2,1.06,481.0
69,634,11.21,1,-56.1,1.18,479.9
72,325,9.88,1,-56.0,1.02,480.4
74,308,12.10,1,-55.9,1.07,843.3
76,308,12.11,1,-55.9,1.13,842.7
78,308,12.06,1,-55.8,1.17,1130.5
80,291,12.27,1,-55.6,1.12,842.7
82,308,12.38,1,-55.6,1.10,1172.7
84,308,12.14,1,-55.4,1.14,1012.4
86,308,11.69,1,-55.4,1.15,649.8
88,308,12.69,1,-55.5,1.16,713.0
90,308,11.89,1,-55.6,1.08,818.0
92,308,10.97,1,-55.7,1.03,1077.9
94,137,9.72,1,-55.8,1.03,1077.2
96,137,8.12,1,-55.1,1.00,813.9
98,58,11.47,1,-53.6,1.16,813.3
100,45,13.82,1,-51.5,1.31,812.8
102,45,13.39,1,-51.5,1.47,812.5
104,45,14.54,1,-51.9,1.48,812.0
106,62,22.60,1,-47.2,1.26,812.2
108,41,19.67,1,-47.9,1.00,754.4
110,41,20.13,1,-47.9,1.01,648.1
112,56,21.93,1,-47.9,1.20,648.4
115,59,7.97,1,-56.3,1.43,645.3
117,45,7.55,1,-56.4,1.59,645.3
119,45,6.63,1,-56.2,1.36,637.1
121,45,7.01,1,-56.1,1.48,746.4
123,974,20.08,1,-35.9,1.14,483.2
125,997,20.70,1,-34.6,1.50,989.6
127,997,20.04,1,-33.8,1.52,988.7
129,997,19.79,1,-33.0,1.38,990.7
131,989,21.54,1,-34.7,1.10,991.6
133,981,14.32,1,-34.9,1.12,990.9
135,994,17.83,1,-35.3,1.04,990.6
137,983,22.21,1,-35.5,1.33,991.2
139,983,13.95,1,-35.0,1.00,990.8
141,79,15.02,1,-33.3,1.08,990.8
143,64,17.44,1,-31.0,1.05,989.9
145,84,20.27,1,-30.1,1.07,992.7
147,50,20.70,1,-29.0,1.10,996.4
149,70,17.63,1,-28.7,1.13,998.2
151,41,14.05,1,-30.7,1.23,996.0
153,41,15.09,1,-30.9,1.24,995.0
155,142,20.15,1,-29.2,1.04,992.9
158,41,18.24,1,-27.6,1.23,992.8
160,41,16.58,1,-26.3,1.40,992.5
162,41,15.60,1,-26.2,1.27,992.0
164,52,15.22,1,-27.4,1.04,990.8
166,51,16.05,1,-28.6,1.15,991.9
168,48,20.52,1,-28.8,1.31,992.7
170,48,20.30,1,-29.2,1.36,992.4
172,48,19.00,1,-29.5,1.12,992.1
174,113,15.22,1,-27.4,1.01,991.8
176,68,9.33,1,-27.6,1.05,991.9
178,68,9.29,1,-27.5,1.04,991.6
180,68,11.31,1,-27.5,1.16,991.6
182,47,16.14,1,-29.3,1.38,993.4
184,50,16.54,1,-30.7,1.21,994.4
186,45,18.80,1,-26.6,1.14,997.3
188,45,20.40,1,-26.7,1.33,997.3
190,45,20.21,1,-27.1,1.24,500.0
192,45,21.52,1,-26.8,1.29,500.1
194,51,14.09,1,-28.8,1.51,500.2
196,121,10.72,1,-24.6,1.19,500.6
198,56,9.18,1,-24.3,1.04,500.2
201,121,9.51,1,-24.5,1.12,500.0
203,51,12.66,1,-24.1,1.15,500.3
205,54,12.31,1,-24.9,1.33,499.6
207,45,12.37,1,-24.4,1.33,992.0
209,45,13.40,1,-24.1,1.52,498.8
211,62,14.47,1,-24.2,1.24,988.0
213,48,15.60,1,-24.2,1.30,1000.2
215,48,14.55,1,-25.1,1.08,1001.5
217,48,15.81,1,-25.5,1.26,1001.8
219,69,14.63,1,-25.1,1.28,1001.7
221,950,9.15,1,-24.7,1.01,1002.3
223,54,9.26,1,-24.5,1.06,1002.3
225,54,9.11,1,-24.6,1.03,501.7
227,53,14.13,1,-26.9,1.40,501.3
229,46,24.03,1,-29.7,1.65,1000.8
231,46,21.57,1,-28.3,1.37,1003.3
233,46,21.94,1,-28.5,1.33,1003.2
235,43,18.91,1,-27.5,1.68,254.5
237,43,15.67,1,-28.0,1.38,1014.0
239,43,14.13,1,-29.5,1.42,1021.9
241,40,16.85,1,-28.5,1.29,1026.9
244,41,18.30,1,-29.0,1.43,1007.6
246,41,15.76,1,-28.7,1.23,1002.5
248,41,17.60,1,-28.7,1.45,1002.3
250,41,16.77,1,-29.9,1.38,1004.8
252,55,12.80,1,-30.2,1.08,1005.2
254,51,12.00,1,-29.3,1.11,1004.9
256,40,11.36,1,-29.6,1.17,1006.8
258,40,13.23,1,-29.9,1.37,1005.0
260,1395,15.72,1,-27.4,1.31,1003.4
262,1395,10.87,1,-25.1,1.06,1002.4
264,1395,10.96,1,-24.0,1.10,1001.3
266,104,10.16,1,-23.6,1.06,999.2
268,66,11.70,1,-24.2,1.08,994.5
270,1414,17.46,1,-26.1,1.61,996.7
272,1414,19.45,1,-26.9,1.71,997.3
274,1425,17.81,1,-27.3,1.21,998.7
276,1425,18.19,1,-28.8,1.05,1000.5
278,45,18.14,1,-28.1,1.10,1001.3
280,44,13.22,1,-27.7,1.57,1001.5
282,42,13.15,1,-28.4,1.49,1000.5
285,48,14.90,1,-28.1,1.71,1001.5
287,44,16.29,1,-27.9,1.33,1001.8
289,44,20.46,1,-28.6,1.74,1001.8
291,45,19.20,1,-27.1,1.13,1002.3
293,42,20.11,1,-26.2,1.60,1002.3
295,42,26.83,1,-26.0,2.13,1002.4
297,42,26.23,1,-26.3,1.83,1001.7
299,42,24.39,1,-26.5,2.11,1001.1
301,42,14.32,1,-24.8,1.23,999.8
303,45,10.04,1,-24.4,1.02,999.5
305,68,9.19,1,-24.3,1.14,997.3
307,57,11.19,1,-24.1,1.25,993.7
309,53,10.61,1,-24.0,1.35,995.8
311,53,9.73,1,-23.3,1.04,1000.8
313,53,10.55,1,-23.3,1.20,1002.0
315,53,11.90,1,-24.2,1.34,499.5
317,41,10.95,1,-25.7,1.24,1001.4
319,2012,13.53,1,-27.9,1.15,997.3
321,40,13.97,1,-27.1,1.11,992.0
323,44,10.39,1,-25.2,1.04,991.8
325,55,8.05,1,-23.8,1.10,991.6
328,47,8.09,1,-23.6,1.05,991.2
330,45,9.30,1,-23.3,1.21,990.5
332,91,12.04,1,-23.7,1.03,988.6
334,51,11.28,1,-24.0,1.23,496.0
336,51,11.21,1,-23.9,1.12,991.4
338,43,11.42,1,-24.3,1.11,496.9
340,77,11.05,1,-24.0,1.22,497.7
342,2051,10.10,1,-23.9,1.17,991.3
344,2048,10.49,1,-23.5,1.12,990.2
346,53,10.24,1,-23.9,1.30,1000.9
348,40,13.22,1,-24.7,1.28,1001.6
350,2085,11.11,1,-26.3,1.20,1002.4
352,51,14.39,1,-27.6,1.09,1002.7
354,48,20.10,1,-26.1,1.66,1003.0
356,48,17.57,1,-24.9,2.27,1003.0
358,48,14.06,1,-23.6,1.45,1003.7
360,48,12.34,1,-23.4,1.42,1003.8
362,45,10.10,1,-24.1,1.08,1002.5
364,41,12.29,1,-25.4,1.24,1001.6
366,45,15.78,1,-25.8,1.38,1002.0
368,51,15.63,1,-24.9,1.34,1002.6
371,74,14.93,1,-24.4,1.03,502.5
373,54,14.68,1,-24.9,1.52,1193.5
375,45,14.08,1,-26.9,1.22,1193.5
377,45,19.35,1,-30.4,1.34,1193.6
379,48,39.03,1,-36.6,1.76,1193.7
381,42,20.44,1,-53.3,1.17,1193.7
383,43,18.93,1,-54.0,1.14,1056.9
385,43,17.60,1,-53.9,1.06,869.3
387,43,24.05,1,-52.3,1.40,869.3
389,43,25.89,1,-53.2,1.25,869.3
391,43,39.10,1,-54.6,2.64,869.3
393,41,34.15,1,-55.7,2.13,936.7
395,58,12.03,1,-59.0,1.90,875.3
397,58,13.88,1,-56.9,2.05,715.9
399,58,13.90,1,-56.7,2.06,716.2
401,49,15.01,1,-56.4,1.93,716.4
403,43,12.72,1,-53.4,1.03,693.9
405,2337,26.32,1,-51.1,2.20,694.0
407,2336,26.03,1,-51.1,2.13,693.9
409,2336,26.82,1,-51.1,2.13,693.9
411,54,16.79,1,-53.7,1.83,693.9
414,58,8.69,1,-59.1,1.11,694.2
416,117,7.90,1,-58.5,1.06,554.9
418,50,10.69,1,-55.9,1.26,906.1
420,44,14.89,1,-53.7,1.41,607.4
422,50,25.55,1,-50.0,2.22,741.3
424,50,23.98,1,-49.8,2.11,724.1
426,50,21.23,1,-47.9,2.04,417.0
428,50,19.06,1,-47.8,1.20,1199.0
430,668,18.49,1,-49.6,1.32,1198.9
432,668,18.56,1,-49.7,1.32,1198.8
434,47,29.40,1,-46.0,1.21,1198.8
436,47,31.86,1,-46.2,1.26,1198.9
438,41,36.52,1,-38.3,1.48,1044.5
440,41,36.12,1,-38.4,1.49,607.2
442,1227,33.20,1,-39.1,1.02,606.2
444,44,53.56,1,-39.1,1.03,621.7
446,76,40.80,1,-61.2,1.66,621.7
448,76,23.96,1,-55.1,1.06,621.8
450,1327,59.20,1,-53.2,3.20,620.8
452,1327,59.12,1,-53.3,3.20,621.3
454,546,52.58,1,-41.2,1.57,266.6
457,1041,52.91,1,-36.1,1.30,520.6
459,1041,39.18,1,-34.1,1.24,517.1
461,1022,32.23,1,-32.8,1.14,514.2
463,1022,35.65,1,-32.7,1.17,513.4
465,1022,30.92,1,-33.1,1.35,513.3
467,1024,26.92,1,-33.1,1.04,512.5
469,2046,26.14,1,-33.3,1.09,512.3
471,1025,29.04,1,-33.4,1.20,512.5
473,1036,30.74,1,-33.6,1.09,512.9
475,1036,37.76,1,-33.8,1.43,512.8
477,1029,32.04,1,-33.5,1.32,513.2
479,1034,32.38,1,-33.4,1.12,513.3
481,1038,24.28,1,-33.0,1.30,512.7
483,1027,11.19,1,-30.7,1.13,512.2
485,437,12.00,1,-29.6,1.31,512.4
487,437,12.86,1,-28.3,1.30,511.9
489,437,15.90,1,-27.7,1.68,512.2
491,437,14.92,1,-27.9,1.61,512.0
493,437,11.62,1,-27.1,1.13,1025.2
495,40,13.32,1,-27.3,1.20,511.6
497,40,13.71,1,-27.0,1.28,1025.5
500,40,14.42,1,-26.7,1.11,512.8
502,437,14.04,1,-27.5,1.02,1029.3
504,42,13.54,1,-27.1,1.11,1026.9
506,437,13.97,1,-27.0,1.19,1029.3
508,1004,11.98,1,-26.9,1.07,1029.3
510,43,12.43,1,-26.6,1.03,1028.7
512,43,13.53,1,-27.2,1.29,1027.0
514,505,12.90,1,-28.3,1.16,511.2
516,43,12.21,1,-29.0,1.43,1032.5
518,41,11.24,1,-27.4,1.12,1031.5
520,437,13.45,1,-27.1,1.12,1031.3
522,437,17.48,1,-27.0,1.42,1032.0
524,437,17.33,1,-27.1,1.21,513.5
526,742,12.83,1,-28.6,1.37,513.1
528,53,13.06,1,-27.2,1.35,511.8
530,53,10.26,1,-27.0,1.48,511.4
532,53,11.83,1,-26.7,1.31,511.0
534,46,10.92,1,-26.9,1.10,511.4
536,46,9.76,1,-27.0,1.04,512.0
538,46,12.14,1,-26.5,1.15,511.0
541,45,14.70,1,-25.8,1.26,511.4
543,1025,16.69,1,-25.0,1.08,514.9
545,1025,27.71,1,-25.4,1.85,511.7
547,1025,31.40,1,-25.2,2.32,511.2
549,1025,26.72,1,-25.2,2.04,513.1
551,1026,12.13,1,-25.1,1.04,513.0
553,1025,13.39,1,-25.1,1.09,512.9
555,1025,20.56,1,-25.6,1.08,512.5
557,1025,32.18,1,-25.2,1.13,513.1
559,1025,29.26,1,-25.1,1.09,512.3
561,1025,26.32,1,-25.2,1.58,512.1
563,1025,15.46,1,-25.3,1.08,512.7
565,1026,18.90,1,-26.0,1.17,512.5
567,1026,25.64,1,-27.5,1.14,1025.5
569,1026,25.35,1,-27.3,1.01,1025.6
571,1026,29.83,1,-28.2,2.01,1025.2
573,922,16.71,1,-29.0,1.89,1026.4
575,925,13.82,1,-29.4,1.22,1026.3
577,935,12.15,1,-29.5,1.28,1029.3
579,933,13.75,1,-29.5,1.21,1029.3
581,935,15.19,1,-29.5,1.38,1029.3
584,935,14.75,1,-29.3,1.40,1027.1
586,935,13.89,1,-29.7,1.31,1026.9
588,915,14.43,1,-28.8,1.11,1026.1
590,914,16.65,1,-27.0,1.49,1025.6
592,914,14.99,1,-26.9,1.38,1025.0
594,914,14.63,1,-26.8,1.58,1024.8
596,914,16.08,1,-27.3,1.72,1024.9
598,913,17.00,1,-29.3,2.07,1018.7
600,912,19.08,1,-29.1,2.18,1020.0
602,912,17.55,1,-29.2,2.15,1019.0
604,43,8.87,1,-29.5,1.02,1022.3
606,1025,13.05,1,-29.7,1.53,1022.3
608,1021,12.02,1,-28.8,1.28,1022.8
610,1021,9.30,1,-27.7,1.03,1023.5
612,45,8.43,1,-27.4,1.10,1024.8
614,52,10.64,1,-27.0,1.41,1024.7
616,52,13.05,1,-27.4,1.58,1029.1
618,52,12.47,1,-28.1,1.41,1028.2
620,76,8.33,1,-27.9,1.03,1027.2
622,54,8.18,1,-27.9,1.06,1027.6
624,2048,12.98,1,-27.0,1.04,1028.4
627,2049,14.32,1,-26.9,1.06,1025.7
629,2049,17.87,1,-26.7,1.11,1024.9
631,1024,15.80,1,-26.2,1.36,1024.7
633,46,12.83,1,-25.1,1.12,510.9
635,1024,18.94,1,-25.0,1.44,1023.4
637,49,13.25,1,-24.9,1.24,511.2
639,46,14.47,1,-24.6,1.37,1024.0
641,47,14.39,1,-25.5,1.03,511.5
643,47,15.01,1,-25.6,1.52,1024.1
645,1024,15.25,1,-26.1,1.08,1024.2
647,2048,27.46,1,-26.5,1.74,1024.6
649,1024,23.64,1,-26.5,1.15,1023.8
651,1024,30.48,1,-26.6,1.81,1023.7
653,1024,31.04,1,-26.8,1.74,1024.1
655,1024,27.26,1,-26.4,1.15,1024.8
657,2048,21.94,1,-26.4,1.41,1024.7
659,1024,23.25,1,-26.2,1.94,1025.0
661,2048,19.07,1,-26.2,1.11,1025.4
663,2048,24.91,1,-26.7,2.08,512.9
665,42,12.14,1,-27.0,1.16,1025.0
667,2048,31.22,1,-26.9,3.08,1024.6
670,2048,33.38,1,-27.4,1.71,1024.4
672,2049,32.74,1,-26.6,1.31,1024.6
674,2049,21.90,1,-26.3,1.30,1024.6
676,42,9.73,1,-25.8,1.06,1024.4
678,1024,16.16,1,-25.4,1.67,1024.8
680,1024,13.36,1,-25.9,1.02,1024.8
682,45,11.05,1,-25.4,1.19,1023.9
684,2048,16.80,1,-25.8,1.41,1024.1
686,41,12.32,1,-25.2,1.08,1025.4
688,1024,19.01,1,-25.2,1.53,512.0
690,1025,23.54,1,-25.1,1.30,1024.6
692,1025,29.98,1,-25.0,1.09,1024.0
694,1025,29.96,1,-25.0,1.22,1025.5
696,2050,18.26,1,-24.6,1.66,1024.8
698,2051,15.71,1,-24.4,1.37,1025.0
700,1025,22.38,1,-24.4,1.49,1024.6
702,1025,31.05,1,-24.4,1.37,1024.8
704,1025,31.67,1,-24.8,1.24,1024.8
706,1025,32.22,1,-24.4,2.27,1024.4
708,1025,17.11,1,-24.6,1.29,1024.2
710,1025,20.27,1,-25.0,1.86,1024.9
713,1025,20.30,1,-25.4,1.21,1024.9
715,1017,25.95,1,-26.1,1.46,1023.4
717,1017,25.63,1,-26.1,1.67,1022.9
719,1017,32.15,1,-26.4,2.48,1022.7
721,1024,31.10,1,-26.7,2.04,1022.7
723,1024,28.87,1,-26.5,1.69,1022.1
725,1024,23.01,1,-26.4,1.52,1023.6
727,1024,29.33,1,-26.4,2.18,1024.9
729,1024,29.04,1,-26.4,1.68,1023.9
731,1024,40.20,1,-26.5,3.52,1024.1
733,2048,28.63,1,-26.5,1.23,1023.8
735,2048,24.77,1,-26.1,2.04,1022.3
737,2048,27.14,1,-26.7,1.67,1021.8
739,51,11.10,1,-27.7,1.05,1021.7
741,1024,11.64,1,-28.4,1.08,1027.4
743,58,9.46,1,-30.6,1.10,1023.9
745,44,10.50,1,-30.2,1.39,1028.5
747,44,8.81,1,-30.4,1.06,1025.0
749,43,9.41,1,-30.7,1.15,1024.1
751,1022,11.16,1,-31.2,1.24,1024.2
753,42,9.58,1,-30.7,1.21,512.5
756,42,9.38,1,-28.8,1.52,1023.7
758,50,5.86,1,-27.6,1.02,1023.4
760,42,8.40,1,-27.2,1.41,512.5
762,42,9.49,1,-27.6,1.32,512.4
764,53,10.38,1,-28.0,1.21,1027.8
766,42,10.77,1,-28.3,1.20,1028.5
768,76,12.30,1,-27.7,1.16,1026.9
770,1024,19.15,1,-27.3,1.87,1025.4
772,1024,20.09,1,-26.5,1.28,511.1
774,1024,16.51,1,-26.3,1.22,510.9
776,1024,17.89,1,-25.7,1.13,510.6
778,1024,18.79,1,-25.9,1.25,511.2
780,2047,19.27,1,-25.6,1.62,511.2
782,2048,31.55,1,-25.2,1.33,511.4
784,2048,30.18,1,-25.8,1.14,511.8
786,2048,40.68,1,-26.2,2.35,511.8
788,2048,20.73,1,-26.0,1.19,511.3
790,2048,22.80,1,-26.5,1.85,1024.0
792,1024,22.16,1,-25.9,1.41,511.9
794,1024,21.08,1,-26.6,1.32,511.4
797,1024,41.21,1,-28.2,2.15,512.1
799,2047,21.89,1,-29.8,1.28,512.6
801,40,31.31,1,-39.1,1.29,513.9
803,59,9.72,1,-53.5,1.54,513.8
805,59,9.02,1,-53.6,1.39,508.3
807,58,5.94,1,-57.7,1.11,1056.6
809,58,5.55,1,-58.0,1.07,1056.7
811,167,5.42,1,-58.1,1.08,792.1
813,58,6.12,1,-58.1,1.20,1066.6
815,63,5.54,1,-58.0,1.10,661.4
817,49,7.41,1,-57.8,1.51,266.5
819,49,7.14,1,-57.7,1.66,833.8
821,49,7.73,1,-57.3,1.54,991.9
823,41,16.56,1,-50.8,1.08,946.2
825,41,16.12,1,-50.8,1.17,929.8
827,41,16.61,1,-50.8,1.17,1046.4
829,41,24.56,1,-52.6,2.43,800.8
831,41,30.12,1,-54.5,2.47,909.6
833,41,30.47,1,-54.6,2.27,801.0
835,49,45.63,1,-37.9,1.65,1134.6
837,439,38.75,1,-35.8,1.43,918.0
840,439,29.09,1,-34.6,1.33,918.0
842,439,28.74,1,-34.6,1.31,918.1
844,390,31.78,1,-40.3,1.44,918.1
846,390,32.45,1,-40.4,1.46,918.1
848,422,10.01,1,-58.8,1.34,918.6
850,128,7.98,1,-62.5,1.13,418.5
852,79,8.02,1,-67.3,1.26,544.2
854,51,6.23,1,-67.6,1.16,1013.7
856,375,5.91,1,-67.4,1.07,1013.3
858,62,5.87,1,-67.4,1.00,1075.9
860,61,7.27,1,-67.2,1.21,1076.0
862,61,6.50,1,-66.9,1.15,641.4
864,79,6.92,1,-66.6,1.15,640.7
866,79,6.89,1,-66.0,1.22,586.5
868,122,62.10,1,-56.6,1.26,990.6
870,122,42.01,1,-55.8,1.22,954.7
872,122,39.25,1,-55.6,1.16,991.2
874,122,41.13,1,-55.5,1.16,991.2
876,2087,8.93,1,-60.4,1.26,991.2
878,48,7.66,1,-62.3,1.41,954.7
880,45,6.55,1,-62.5,1.32,344.5
883,45,9.67,1,-61.7,1.79,696.9
885,51,9.36,1,-61.0,1.78,605.5
887,265,13.22,1,-59.8,1.23,256.4
889,265,12.41,1,-59.6,1.05,256.4
891,41,11.84,1,-59.4,1.04,256.4
893,50,13.68,1,-59.2,1.09,256.1
895,51,12.87,1,-59.4,1.12,272.0
897,51,16.40,1,-58.5,1.27,263.9
899,51,15.28,1,-57.7,1.09,372.4
901,51,14.30,1,-57.2,1.05,757.6
903,68,13.74,1,-56.8,1.15,758.0
905,51,13.98,1,-56.6,1.10,810.6
907,68,14.36,1,-56.4,1.08,574.5
909,68,14.74,1,-56.3,1.04,810.3
911,68,16.55,1,-56.2,1.06,714.8
913,68,16.25,1,-56.2,1.15,714.4
915,68,16.05,1,-56.2,1.13,766.5
917,68,16.10,1,-56.1,1.11,947.4
919,68,13.42,1,-55.8,1.07,767.0
921,341,13.18,1,-55.6,1.07,714.0
923,342,13.18,1,-55.6,1.03,1076.7
926,342,12.69,1,-55.1,1.02,758.6
928,44,21.14,1,-52.6,1.93,562.9
930,55,18.96,1,-50.8,1.87,1092.6
932,55,14.74,1,-48.9,1.17,1082.7
934,549,14.74,1,-39.6,1.11,1082.9
936,549,14.54,1,-39.7,1.27,1083.7
938,549,14.66,1,-39.7,1.20,1085.7
940,549,15.05,1,-39.9,1.15,1001.1
942,68,13.10,1,-51.9,1.26,978.4
944,50,13.82,1,-52.4,1.40,704.7
946,991,10.33,1,-55.2,1.09,704.1
948,342,10.37,1,-55.5,1.05,403.6
950,342,12.38,1,-55.8,1.23,918.1
952,342,11.42,1,-55.0,1.04,919.8
954,50,13.51,1,-54.5,1.16,920.7
956,44,23.70,1,-37.1,1.14,341.6
958,41,17.54,1,-36.6,1.13,348.3
960,42,19.37,1,-34.9,1.15,659.9
962,51,15.73,1,-34.1,1.32,565.6
964,71,14.23,1,-37.4,1.15,565.3
966,71,14.52,1,-37.4,1.11,565.4
969,41,23.52,1,-39.5,1.31,660.8
971,45,21.62,1,-43.5,1.66,969.7
973,45,24.30,1,-43.7,1.78,724.7
975,45,32.03,1,-44.8,1.79,381.9
977,308,11.07,1,-58.0,1.03,334.6
979,291,12.20,1,-57.8,1.08,338.2
981,86,13.12,1,-56.9,1.20,852.3
983,86,12.34,1,-56.8,1.16,853.4
985,86,12.96,1,-56.6,1.19,883.5
987,45,12.59,1,-56.1,1.19,789.4
989,45,13.55,1,-56.3,1.34,882.2
991,45,13.57,1,-56.2,1.27,479.9
993,45,13.71,1,-56.0,1.12,907.2
995,51,12.34,1,-55.3,1.09,1033.3
997,51,11.92,1,-55.2,1.02,298.8
999,291,11.86,1,-55.1,1.00,298.6
1001,50,16.00,1,-49.3,1.51,1131.6
1003,43,18.77,1,-45.9,1.64,667.1
1005,55,14.06,1,-42.5,1.25,391.8
1007,384,32.94,1,-35.1,1.37,391.8
1009,384,30.00,1,-35.1,1.16,377.3
