t_s,lag_ms,peak_ratio,confident,rms_db,comb_ratio,beat_period_ms
1012,384,29.74,1,-35.3,1.18,377.4
1014,384,34.89,1,-35.6,1.14,377.0
1016,50,20.47,1,-45.9,1.03,376.6
1018,48,16.58,1,-44.3,1.24,376.6
1020,42,16.40,1,-44.1,1.31,1120.9
1022,40,19.33,1,-42.4,1.24,1119.2
1024,49,17.12,1,-42.5,1.72,417.0
1026,49,14.73,1,-42.6,1.79,417.0
1028,49,20.07,1,-40.0,1.76,970.5
1030,45,16.88,1,-30.4,1.28,622.2
1032,45,12.55,1,-29.2,1.06,624.0
1034,64,12.29,1,-29.2,1.22,622.5
1036,80,12.46,1,-29.3,1.09,622.9
1038,40,26.38,1,-33.8,1.51,622.0
1040,72,20.35,1,-40.0,1.45,663.2
1042,72,20.65,1,-40.2,1.40,663.7
1044,72,24.22,1,-40.8,1.41,663.7
1046,52,28.77,1,-48.1,2.00,663.7
1048,45,11.83,1,-55.1,1.22,663.7
1050,45,10.70,1,-56.7,1.13,663.6
1053,45,14.29,1,-56.2,1.45,1152.0
1055,51,11.87,1,-55.5,1.20,980.6
1057,51,12.21,1,-55.5,1.20,928.4
1059,45,20.21,1,-52.1,1.60,949.7
1061,41,19.56,1,-52.2,1.37,825.0
1063,45,18.38,1,-52.1,1.54,715.5
1065,46,19.85,1,-51.6,1.78,632.3
1067,58,11.18,1,-54.1,1.48,632.0
1069,49,24.89,1,-51.3,1.00,632.2
1071,77,27.84,1,-50.5,1.35,634.7
1073,63,20.35,1,-49.4,1.30,1001.9
1075,63,19.14,1,-49.3,1.27,1002.6
1077,52,17.22,1,-49.1,1.26,573.2
1079,41,24.87,1,-47.6,2.02,574.4
1081,52,27.08,1,-38.0,2.32,574.3
1083,52,27.13,1,-38.1,2.22,574.4
1085,52,25.76,1,-37.8,1.79,574.6
1087,45,29.98,1,-37.1,1.82,597.1
1089,45,21.73,1,-34.0,2.07,597.5
1091,45,22.21,1,-33.3,2.16,634.7
1093,45,21.81,1,-33.5,2.06,639.2
1096,45,24.52,1,-33.8,2.12,639.0
